State,LGA,Ward,PU-Code,PU-Name,Accredited_Voters,Registered_Voters,Results_Found,Transcription_Count,Result_Sheet_Stamped,Result_Sheet_Corrected,Result_Sheet_Invalid,Result_Sheet_Unclear,Result_Sheet_Unsigned,APC,LP,PDP,NNPP,Results_File
OYO,IBARAPA NORTH,IGANGAN III,30-13-05-007,OKE OLA MARKET II,0,0,0,0,1,0,1,1,0,0,0,0,0,
OYO,IBARAPA NORTH,IGANGAN III,30-13-05-009,BALOGUN COMPOUND AREA I,0,0,0,0,1,0,1,1,0,0,0,0,0,
OYO,IBARAPA NORTH,IGANGAN III,30-13-05-013,OKE OLA MARKET III,0,0,0,0,1,0,1,1,0,0,0,0,0,
OYO,IBARAPA NORTH,IGANGAN III,30-13-05-015,AROMAYE COMPOUND I,0,0,0,0,1,0,1,1,0,0,0,0,0,
OYO,IBARAPA NORTH,IGANGAN III,30-13-05-017,AROMAYE COMPOUND III,0,0,0,0,1,0,1,1,0,0,0,0,0,
OYO,IBARAPA NORTH,IGANGAN III,30-13-05-020,ELETI ASAOKU COMPOUND AREA II,0,0,0,0,1,0,1,1,0,0,0,0,0,
OYO,IBARAPA NORTH,OFIKI I,30-13-07-003,OYEE VILLAGE I,0,0,0,0,1,0,1,1,0,0,0,0,0,
OYO,IBARAPA NORTH,OFIKI I,30-13-07-004,OYEE VILLAGE II,0,0,0,0,1,0,1,1,0,0,0,0,0,
OYO,IBARAPA NORTH,OFIKI I,30-13-07-006,OBAPE VILLAGE I,0,0,0,0,1,0,1,1,0,0,0,0,0,
OYO,IBARAPA NORTH,OFIKI I,30-13-07-007,OBAPE VILLAGE II,0,0,0,0,1,0,1,1,0,0,0,0,0,
OYO,IBARAPA NORTH,OFIKI I,30-13-07-008,OKEBI VILLAGE,0,0,0,0,1,0,1,1,0,0,0,0,0,
OYO,IBARAPA NORTH,OFIKI I,30-13-07-009,ALABI VILLAGE I,0,0,0,0,1,0,1,1,0,0,0,0,0,
OYO,IBARAPA NORTH,OFIKI I,30-13-07-010,ALABI VILLAGE II,0,0,0,0,1,0,1,1,0,0,0,0,0,
OYO,IBARAPA NORTH,OFIKI I,30-13-07-011,ALABI VILLAGE III,0,0,0,0,1,0,1,1,0,0,0,0,0,
OYO,IBARAPA NORTH,OFIKI I,30-13-07-012,ALAGBAA MARKET I,0,0,0,0,1,0,1,1,0,0,0,0,0,
OYO,IBARAPA NORTH,OFIKI I,30-13-07-013,ALAGBAA MARKET II,0,0,0,0,1,0,1,1,0,0,0,0,0,
OYO,IBARAPA NORTH,OFIKI I,30-13-07-014,GBANGBANGERE I,0,0,0,0,1,0,1,1,0,0,0,0,0,
OYO,IBARAPA NORTH,OFIKI I,30-13-07-015,GBANGBANGERE II,0,0,0,0,1,0,1,1,0,0,0,0,0,
OYO,IBARAPA NORTH,OFIKI I,30-13-07-017,SANGODARE VILLAGE II,0,0,0,0,1,0,1,1,0,0,0,0,0,
OYO,IBARAPA NORTH,OFIKI I,30-13-07-019,KONKO VILLAGE II,0,0,0,0,1,0,1,1,0,0,0,0,0,
